Components,Prompts,Pratyush,Rakesh,Anusha
text ,"Display a block of text explaining network traffic, starting with a heading 'What is Network Traffic?' and a paragraph of at least 3 sentences.",Pass,Pass,Pass
insight-card ,"Create an insight card with a title 'System Health', a value 'Excellent', and a description 'Overall system uptime is 99.8% for the last 30 days.'",Pass,Pass,Pass
summary-card ,"Display a summary card with 4 metrics: Total Requests (1.2M), Avg. Latency (45ms), Error Rate (0.02%), and Uptime (99.8%).",Pass,Pass,Pass
panel ,"Create a panel container with a title 'Logs' and some pre-formatted text content inside, like 'INFO: Service started.'",Pass,Pass,Pass
paper ,"Display a paper surface with elevated styling, containing a title 'User Settings' and a simple form.",Pass,Pass,Pass
well ,Show a well container (inset styling) holding a 'Notes' text area and a 'Save Note' button.,Pass,Pass,Pass
callout ,Create an informational callout box (info-blue) with a title 'Note' and text 'This feature is currently in beta.',Pass,Pass,Pass
frame ,Display a bordered frame container with a label 'Debug Output' and some text content inside.,Pass,Pass,Pass
feature ,"Show a feature highlight card with an icon (like a 'zap' emoji), a title 'Fast Processing', and a short description.",Pass,Pass,Pass
hero ,"Create a hero section with a large title 'Welcome to Metis AI', a subtitle 'Your intelligent assistant', and a primary CTA button 'Get Started'.",Pass,Pass,Pass
avatar-group ,"Display a group of 4 user avatars stacked together, showing who is currently viewing the document.",Pass,Pass,Pass
line-chart ,"Show me a line chart titled 'Traffic (Last 8 Hours)' with a single series and data points [120, 150, 140, 180, 210, 190, 230, 220].",Creates an area chart instead of line chart,Pass the 2nd time (but first time showing- Error: Job failed: Failed to parse JSON from Gemini output (see logs/backend.log for full text). Please check your backend connection at ),Failed
multi-line-chart ,"Create a multi-line chart comparing 'Service A' and 'Service B' over 4 quarters. Data: A=[10, 20, 15, 25], B=[15, 25, 20, 30].",Pass,Pass,Pass
area-chart ,"Create an area chart showing 'CPU Usage Trend' for the last hour. Data: [30, 35, 40, 38, 45, 50, 55, 60].",Pass,Pass(some times it shows line chart),Pass
stacked-area-chart ,"Display a stacked area chart of 'Service Loads' over time for 'API' and 'Web'. Data: API=[100, 120, 140], Web=[80, 90, 100].",Pass,Pass(some times it shows line chart),Pass
bar-chart ,"Show a bar chart for 'Errors by Service' with data: API (65), Web (34), Auth (12), DB (5).",Pass,Pass,Pass
grouped-bar-chart ,"Create a grouped bar chart comparing 'Requests' and 'Errors' across 3 services (Auth, API, Web).",Pass,Pass,Pass
stacked-bar-chart ,"Show a stacked bar chart of 'Error Types by Service' for 'Service A' (404s: 10, 500s: 5) and 'Service B' (404s: 8, 500s: 12).",Pass,Pass,Pass
pie-chart ,"Display a pie chart for 'Traffic Distribution' with data: Direct (40%), Google (30%), Social (20%), Other (10%).",Pass,Pass,Pass
donut-chart ,"Show a donut chart for 'Request Methods' distribution with data: GET (60%), POST (25%), PUT (10%), DELETE (5%).",Pass,Pass,Pass
scatter-chart ,Create a scatter plot of 'Latency vs Request Size' with at least 20 random data points.,Pass,Pass,Pass
bubble-chart ,"Show a bubble chart with 3 dimensions: 'Service A' (x: 10, y: 20, z: 15), 'Service B' (x: 15, y: 25, z: 30), 'Service C' (x: 20, y: 10, z: 22).",,Pass,Pass
gauge-chart ,Display a gauge chart for 'Current CPU Load' showing a value of 94% out of 100%.,Pass,Pass,Pass
sparkline-chart ,"Show a small inline sparkline chart of 'Request Rate Trend' using the data [5, 8, 10, 7, 9, 12, 11].",Pass,Pass,Pass
radar-chart,"Create a radar chart comparing 'Service A' and 'Service B' on 5 metrics: Speed, Reliability, Uptime, Security, Cost.",Pass,Pass,Pass
treemap-chart,"Display 'Storage Usage' as a treemap with data: /home (40GB), /var (25GB), /opt (15GB), /tmp (5GB).",Pass,Pass,Pass
funnel-chart,"Show a 'Sales Conversion Funnel' with steps: Visits (1000), Signups (300), Trials (150), Purchases (50).",Pass,Pass,Pass
composed-chart,Create a combined bar and line chart showing 'Monthly Requests' (bars) and 'Average Latency' (line) for 6 months.,Pass,Pass,Pass
waterfall-chart,"Display a 'Cumulative Revenue' waterfall chart showing increases and decreases. Start (1000), Q1 (+300), Q2 (+500), Q3 (-150), Q4 (+400), Total (2050).",Creates a blank chart,Pass,Pass
histogram-chart,"Show a 'Request Duration Distribution' histogram with 5 bins (0-50ms, 50-100ms, etc.) and their frequencies.",creates a bar chart,not pass( it is showing bar chart),Fail(shows bar chart)
heatmap-chart,"Create a heatmap of 'Errors by Hour and Day of Week', showing a 7x24 grid with error counts.",Pass,Pass,Pass
sankey-chart,"Display a 'Traffic Flow' sankey diagram from sources (Google, Direct) to pages (Home, Pricing) to actions (Signup, Contact).",Creates a trafic flow chart,not pass( it is showing horizontal bar chart),
polar-chart,"Create a polar area chart of 'Metrics by Category' for 5 categories (A, B, C, D, E) with values [10, 15, 8, 12, 18].",Pass,showing error- Error: Job failed: Validation failed: polar-chart.angleAxis: must be array. Please check your backend connection at ,shows dotted lines
"radial-bar-chart","Show 'Project Completion' percentages as radial bars for 3 projects: Alpha (75%), Beta (40%),
Gamma (90%).",Pass,,Pass
"boxplot-chart","Show a 'Response Time' box plot by service (API, Web, DB) showing quartiles, median, and
outliers.",Pass,,Pass
"chord-chart","Create a chord diagram showing service-to-service dependencies between 4 services: Auth,
API, Web, and Users.",Shows Error: Job failed: Gemini API error: The model is overloaded. Please try again later.. Please check your backend connection at,,
"multi-axis-chart","Show a multi-axis chart with 'Requests' (left Y-axis, 0-1M) and 'Latency' (right Y-axis, 0-100ms)
over time.",Pass,,Pass
"time-series-chart","Display a 'Multi-Metric Time Series' chart for 'CPU' and 'Memory' over the last 24 hours with a
date-time X-axis.",creates a blank chart,,dotted vertical lines
"data-table","Show me a data table of 'Service Performance' with columns: Service, Status, Latency (ms),
24h Traffic. Include 3 rows of mock data (e.g., API, Healthy, 45ms, 1.2M).",Pass,,Pass
"data-grid","Create an advanced data grid for 'User List' with columns (Name, Email, Role, Last Login) and
at least 10 rows of mock data. Enable sorting and filtering.",Pass,,Pass
